,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space","Used Space"
02/02/2021 18:46:51,6.25,2.34375,4.296875,47,47,47,2494.34277,2494.34277,3.24747229,1.17961729,0.0223703682,99.77371,31.9822388,2.52072525,5.360916,38,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.9668045,0.161125183
02/02/2021 18:46:52,3.90625,4.6875,4.296875,46,46,47,2494.3418,2494.3418,3.21410561,1.19080842,0.007812783,99.77367,31.9811783,2.52064133,5.361,38,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.9668045,0.161125183
02/02/2021 18:46:53,7.8125,7.068455,7.44047737,47,46,47,2494.34229,2693.88965,4.0982523,1.86009681,0.0275426339,99.77369,31.976532,2.520275,5.36136627,38,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.9668045,0.161125183
02/02/2021 18:46:54,11.71875,8.55769,10.13822,47,46,48,2494.34229,2494.34229,3.98096633,1.75774848,0.04336691,99.77369,31.9879,2.52117157,5.36047,38,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.9668045,0.161125183
02/02/2021 18:46:55,7.8125,5.46875,6.640625,47,47,48,2195.02124,2494.34253,3.47919536,1.39093041,0.04019298,99.7737,31.9905624,2.52138138,5.36026,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.9668045,0.161125183
02/02/2021 18:46:56,3.90625,3.125,3.515625,47,47,47,2494.342,2494.342,3.51611972,1.44560313,0.004745636,99.77368,31.99443,2.52168655,5.359955,38,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.9668045,0.161125183
02/02/2021 18:46:57,6.25,3.125,4.6875,46,41,47,2494.342,2494.342,3.145472,1.13012862,0.00346389064,99.77369,31.9953537,2.521759,5.35988235,38,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.9668045,0.161125183
02/02/2021 18:46:58,14.84375,25,19.921875,47,49,49,2494.342,2494.342,7.97538,5.20757866,0.00602760771,99.77368,33.30471,2.624958,5.25668335,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.9668045,0.161125183
02/02/2021 18:46:59,18.75,24.28075,21.5153751,45,48,49,2494.34253,2494.34253,8.025918,4.926821,0.00308237248,99.7737,35.8502045,2.82558441,5.056057,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.9668045,0.161125183
