,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space","Used Space"
02/02/2021 19:26:12,20.3125,34.375,27.34375,52,53,54,2494.342,2494.342,9.426031,6.19978952,0.006576755,99.77369,48.4418869,3.818016,4.06362534,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96616364,0.161125183
02/02/2021 19:26:13,60.9375,68.75,64.84375,57,55,58,2494.34253,2494.34253,11.7533951,8.422596,0.005508605,99.7737,50.7833748,4.00256348,3.879078,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96616364,0.161125183
02/02/2021 19:26:14,85.9375,87.5,86.71875,53,52,55,2494.342,2494.342,12.5133781,9.397253,0.006134256,99.77368,51.95131,4.094616,3.78702545,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96616364,0.161125183
02/02/2021 19:26:15,22.65625,31.25,26.953125,56,49,58,2494.3418,2494.3418,8.987754,6.10190153,0.0036317117,99.77367,51.7886353,4.08179474,3.79984665,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96616364,0.161125183
02/02/2021 19:26:16,22.65625,32.8125,27.734375,56,50,57,2494.34131,2494.34131,9.172665,6.253547,0.0056306785,99.77366,51.8234825,4.08454132,3.7971,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96616364,0.161125183
02/02/2021 19:26:17,18.75,33.59375,26.171875,52,52,56,2494.34375,2494.34375,9.049796,6.152785,0.00364697655,99.77375,51.790184,4.081917,3.79972458,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96616364,0.161125183
02/02/2021 19:26:18,21.09375,32.8125,26.953125,53,52,56,2494.34229,2494.34229,9.183126,6.26287174,0.00515762856,99.77369,52.1445236,4.109844,3.77179718,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:19,23.4375,30.46875,26.953125,52,52,55,2494.342,2494.342,9.054501,6.177691,0.003677497,99.77368,52.19723,4.11399841,3.767643,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:20,25,28.90625,26.953125,56,52,57,2494.342,2494.342,9.595902,6.652144,0.02148506,99.77368,52.03717,4.101383,3.78025818,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
02/02/2021 19:26:21,21.09375,32.03125,26.5625,55,54,57,2494.34229,2494.34229,9.566116,6.6460247,0.0206152815,99.77369,51.88026,4.089016,3.79262543,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96618652,0.161125183
