,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
02/02/2021 00:00:00,100,100,100,70,67,70,2494.34229,2494.34229,13.055047,10.0014477,0.0235450976,99.77369,51.75597,4.07922,3.80242157,53,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54560852
02/02/2021 00:00:01,100,100,100,70,67,70,2494.342,2494.342,13.07333,9.958377,0.0320597552,99.77368,51.7799225,4.081108,3.80053329,53,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54560852
02/02/2021 00:00:02,100,100,100,70,67,70,2494.34229,2494.34229,13.10636,10.0380211,0.0257576872,99.7737,51.7811852,4.08120728,3.800434,53,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54560852
02/02/2021 00:00:03,100,100,100,70,67,70,2494.34229,2494.34229,13.09548,10.0445976,0.0232551638,99.77369,51.76792,4.080162,3.80147934,53,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54560852
02/02/2021 00:00:04,100,100,100,70,67,70,2494.342,2494.342,13.0866909,10.00956,0.0264749061,99.77369,51.7662277,4.08002853,3.80161285,53,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54560852
02/02/2021 00:00:05,100,100,100,70,68,70,2494.34229,2494.34229,13.0859041,10.0241175,0.0231940858,99.7737,51.76415,4.0798645,3.801777,53,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54560852
02/02/2021 00:00:06,100,100,100,70,67,70,2494.342,2494.342,13.0835238,9.98082,0.0250759646,99.77368,51.7654533,4.0799675,3.801674,53,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54560852
02/02/2021 00:00:07,100,100,100,70,67,70,2494.342,2494.342,13.0970707,10.0131512,0.0230110213,99.77369,51.7702,4.08034134,3.8013,53,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54560852
02/02/2021 00:00:08,100,100,100,69,68,69,2494.34229,2494.34229,13.07514,9.972055,0.02546776,99.77369,51.773056,4.08056641,3.801075,53,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54560852
02/02/2021 00:00:09,100,100,100,70,68,70,2494.3418,2494.3418,13.0774393,9.996055,0.0239876,99.77367,51.7708244,4.080391,3.80125046,53,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54560852
02/02/2021 00:00:10,100,100,100,70,68,70,2494.34277,2494.34277,13.081028,9.9715,0.0252999347,99.77371,51.7769737,4.0808754,3.800766,53,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54560852
02/02/2021 00:00:11,100,100,100,69,68,70,2494.342,2494.342,13.099205,10.0346193,0.02191235,99.77369,51.77678,4.08086,3.80078125,53,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54560852
02/02/2021 00:00:12,100,100,100,69,67,69,2494.342,2494.342,13.0869989,10.00482,0.0238045044,99.77369,51.77983,4.08110046,3.800541,53,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54560852
02/02/2021 00:00:13,100,100,100,70,67,70,2494.34229,2494.34229,13.1127529,10.0375443,0.021591926,99.7737,51.778862,4.081024,3.80061722,53,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54560852
