,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
02/02/2021 00:22:08,75,83.59375,79.296875,58,57,59,2494.34131,2494.34131,12.4302549,8.952794,0.0164342839,99.77365,49.64816,3.91308975,3.96855164,42,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:09,98.4375,100,99.21875,58,58,59,2494.34326,2494.34326,13.2410831,10.0580864,0.00523393741,99.773735,51.11811,4.028946,3.85269547,42,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:10,100,100,100,57,57,60,2494.342,2494.342,12.082242,9.079046,0.005096602,99.77369,50.1730042,3.95445633,3.927185,42,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:11,100,100,100,58,57,60,2494.342,2494.342,12.02778,9.061848,0.00375378388,99.77368,50.17131,3.95432281,3.92731857,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:12,100,100,100,58,57,59,2494.34253,2494.34253,12.123601,9.1220665,0.00621053251,99.7737,50.17083,3.95428467,3.92735672,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:13,100,100,100,59,58,60,2494.3418,2494.3418,12.0134163,9.034237,0.00344860135,99.773674,50.17238,3.95440674,3.92723465,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:14,100,100,100,59,58,60,2494.34253,2494.34253,12.1373453,9.120417,0.00592060434,99.7737045,50.24086,3.95980453,3.92183685,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:15,100,100,100,59,59,60,2494.342,2494.342,12.14296,9.139455,0.00402845675,99.77368,50.5104942,3.98105621,3.90058517,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:16,100,100,100,59,58,60,2494.34229,2494.34229,12.0620146,9.047125,0.00640891166,99.77369,50.53247,3.982788,3.8988533,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:17,78.90625,87.5,83.203125,60,58,60,2494.342,2494.342,11.5004787,8.501713,0.00404370436,99.77368,50.2397957,3.95972061,3.92192078,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:18,100,100,100,60,60,62,2494.34229,2494.34229,13.0422726,10.0650244,0.0136113232,99.77369,50.2955055,3.96411133,3.91753,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:19,100,100,100,60,59,61,2494.342,2494.342,13.0822086,10.11751,0.0200507175,99.773674,50.3260956,3.96652222,3.91511917,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:20,100,100,100,59,60,62,2494.34253,2494.34253,13.0861177,10.087306,0.021515565,99.7737,50.2948265,3.964058,3.91758347,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54598236
02/02/2021 00:22:21,100,100,100,60,60,63,2494.34229,2494.34229,13.0495443,10.0641336,0.0208289754,99.7737,50.3050842,3.96486664,3.91677475,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54598236
02/02/2021 00:22:22,100,100,100,60,59,62,2494.34229,2494.34229,13.0477829,10.0057964,0.0213935357,99.77369,50.30693,3.9650116,3.91662979,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54598236
02/02/2021 00:22:23,100,100,100,59,60,62,2494.34229,2494.34229,13.065074,10.0385818,0.0203863773,99.77369,50.2866936,3.963417,3.91822433,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54598236
02/02/2021 00:22:24,100,100,100,60,60,63,2494.3418,2494.3418,13.0934525,10.0538244,0.0214241017,99.773674,50.31472,3.96562576,3.91601563,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54598236
02/02/2021 00:22:25,100,100,100,59,61,62,2494.34253,2494.34253,13.0935888,10.0595417,0.0208594315,99.7737,50.3048,3.96484375,3.91679764,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54598236
02/02/2021 00:22:26,100,100,100,61,60,63,2494.34229,2494.34229,13.1122284,10.0357208,0.0224312041,99.77369,50.3338852,3.96713638,3.914505,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54598236
02/02/2021 00:22:27,100,100,100,60,61,63,2494.341,2494.341,13.1146221,10.0428257,0.0218054913,99.77364,50.3349,3.96721649,3.914425,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54598236
02/02/2021 00:22:28,100,100,100,61,61,63,2494.34326,2494.34326,13.1027689,10.0472879,0.0210578665,99.77373,50.3625374,3.96939468,3.9122467,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54598236
02/02/2021 00:22:29,100,100,100,61,61,63,2494.34229,2494.34229,13.1016817,10.0488338,0.0208747,99.77369,50.35813,3.96904755,3.91259384,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54598236
02/02/2021 00:22:30,100,100,100,62,60,63,2494.34229,2494.34229,13.0713091,10.0399742,0.02072212,99.7737,50.38224,3.97094727,3.91069412,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54598236
02/02/2021 00:22:31,100,100,100,62,62,64,2494.342,2494.342,13.057807,10.0009575,0.023041537,99.77368,50.39245,3.97175217,3.90988922,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54598236
02/02/2021 00:22:32,100,100,100,62,62,63,2494.34229,2494.34229,13.0321245,9.98594952,0.0215308145,99.7737,50.4070663,3.97290421,3.90873718,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54598236
02/02/2021 00:22:33,100,100,100,62,61,65,2494.342,2494.342,13.09042,10.04672,0.020569561,99.77368,50.3931274,3.97180557,3.90983582,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54598236
02/02/2021 00:22:34,100,100,100,63,61,63,2494.34229,2494.34229,13.0807619,10.0252695,0.0219276175,99.77369,50.350296,3.96842957,3.91321182,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54598236
02/02/2021 00:22:35,100,100,100,62,62,63,2494.34253,2494.34253,13.0618019,10.0328779,0.0208289344,99.7737,50.347393,3.96820068,3.9134407,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54598236
02/02/2021 00:22:36,100,100,100,62,63,63,2494.342,2494.342,13.0704412,10.0051079,0.0228431653,99.77368,50.34105,3.967701,3.91394043,47,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54598236
