,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
02/01/2021 23:13:56,39.0625,34.375,36.71875,58,57,59,2494.3418,2494.3418,10.012435,6.80203152,0.00547811342,99.773674,47.48406,3.74252319,4.139118,42,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:13:57,100,100,100,59,57,61,2494.34277,2494.34277,13.5705967,10.2438869,0.007736464,99.77371,50.1890259,3.955719,3.92592239,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:13:58,35.9375,42.1875,39.0625,52,52,56,2494.342,2494.342,9.627771,6.692846,0.00363171054,99.77368,49.4041252,3.893856,3.98778534,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:13:59,28.90625,24.21875,26.5625,57,50,59,2494.34229,2494.34229,9.136714,6.217866,0.00518816756,99.77369,49.41042,3.894352,3.98728943,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:00,26.5625,26.5625,26.5625,56,50,59,2494.342,2494.342,9.098161,6.2029314,0.0033722946,99.77368,49.47416,3.899376,3.98226547,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:01,21.09375,32.03125,26.5625,52,53,56,2494.34229,2494.34229,9.145156,6.216892,0.006546249,99.77369,49.597,3.90905762,3.97258377,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:02,17.96875,34.375,26.171875,52,53,56,2494.34229,2494.34229,9.068329,6.17682838,0.00361645478,99.77369,49.8585,3.92966843,3.951973,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:03,24.21875,32.03125,28.125,53,54,57,2494.34229,2494.34229,9.474235,6.521516,0.0155186988,99.7737,49.7334366,3.91981125,3.96183014,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:04,30.46875,23.4375,26.953125,53,52,57,2494.34229,2494.34229,9.553639,6.6313343,0.0214240365,99.77369,49.7293739,3.91949081,3.96215057,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:05,23.4375,35.15625,29.296875,51,53,56,2494.342,2494.342,9.640242,6.67734957,0.0221412,99.77368,49.7281151,3.91939163,3.96224976,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:06,22.65625,31.25,26.953125,56,50,59,2494.34253,2494.34253,9.528677,6.60189056,0.0203406941,99.7737,49.72768,3.9193573,3.962284,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:07,29.6875,25,27.34375,53,55,56,2494.342,2494.342,9.676491,6.719985,0.0228279233,99.77368,49.72821,3.91939926,3.96224213,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:08,17.1875,36.71875,26.953125,55,52,57,2494.3418,2494.3418,9.520683,6.590248,0.0205084551,99.773674,49.7278252,3.91936874,3.96227264,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:09,25,31.25,28.125,57,50,59,2494.34229,2494.34229,9.608705,6.63368,0.02252269,99.77369,49.72792,3.91937637,3.962265,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:10,21.875,32.8125,27.34375,53,54,57,2494.34229,2494.34229,9.458149,6.53223228,0.01998973,99.7737,49.7273865,3.91933441,3.962307,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:11,26.5625,28.90625,27.734375,58,51,59,2494.342,2494.342,9.571971,6.61945534,0.02169868,99.77368,49.7279663,3.91938019,3.9622612,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:12,30.46875,23.4375,26.953125,58,51,60,2494.34253,2494.34253,9.463954,6.5223794,0.0201728567,99.7737045,49.72758,3.91934967,3.96229172,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:13,18.75,35.9375,27.34375,54,55,57,2494.3418,2494.3418,9.470778,6.52667332,0.0162663665,99.773674,49.7252579,3.91916656,3.96247482,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:14,20.3125,33.59375,26.953125,53,55,57,2494.342,2494.342,9.350077,6.44798136,0.0120701278,99.77369,49.7165,3.918476,3.96316528,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:15,25.78125,30.46875,28.125,54,53,58,2494.34253,2494.34253,9.578117,6.61504364,0.0216834135,99.7737045,49.7198372,3.91873932,3.962902,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:16,17.96875,36.71875,27.34375,53,56,57,2494.3418,2494.3418,9.476235,6.556212,0.0140538318,99.77367,49.71577,3.918419,3.9632225,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:17,17.1875,36.71875,26.953125,54,56,57,2494.34253,2494.34253,9.539889,6.59893274,0.0149541209,99.7737045,49.71485,3.91834641,3.963295,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:18,25.78125,28.125,26.953125,53,55,58,2494.3418,2494.3418,9.490361,6.56663132,0.0204627384,99.773674,49.7135925,3.91824722,3.96339417,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:19,26.5625,28.125,27.34375,59,51,60,2494.34253,2494.34253,9.621974,6.660405,0.0218513031,99.7737,49.71282,3.91818619,3.9634552,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:20,20.3125,34.375,27.34375,54,56,58,2494.342,2494.342,9.44364548,6.503468,0.02047798,99.77368,49.71195,3.91811752,3.96352386,44,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:21,27.34375,28.125,27.734375,54,57,57,2494.34229,2494.34229,9.468773,6.532549,0.0208899714,99.77369,49.7128677,3.91819,3.96345139,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:22,22.65625,32.8125,27.734375,54,57,57,2494.34229,2494.34229,9.419136,6.492037,0.0202643443,99.77369,49.7107353,3.91802216,3.96361923,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:23,16.40625,39.0625,27.734375,55,57,57,2494.342,2494.342,9.509962,6.55069542,0.0225074682,99.77368,49.7117538,3.91810226,3.96353912,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:24,27.34375,28.90625,28.125,54,56,57,2494.34253,2494.34253,9.429674,6.5004406,0.0211188532,99.7737,49.7116127,3.91809082,3.96355057,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:25,32.03125,25,28.515625,57,52,59,2494.3418,2494.3418,9.576251,6.610926,0.0226448085,99.773674,49.7108841,3.9180336,3.96360779,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:26,23.4375,29.6875,26.5625,56,55,59,2494.34277,2494.34277,9.365348,6.45489645,0.0145726288,99.77371,49.711174,3.91805649,3.963585,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:27,25,28.125,26.5625,54,56,58,2494.342,2494.342,9.518108,6.582424,0.0162359439,99.77368,49.7105446,3.918007,3.96363449,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:28,24.21875,29.6875,26.953125,59,51,60,2494.34253,2494.34253,9.367797,6.467016,0.0119327214,99.7737,49.7037659,3.91747284,3.96416855,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:29,18.75,35.9375,27.34375,54,56,58,2494.3418,2494.3418,9.56649,6.60245,0.0224616732,99.773674,49.7086067,3.91785431,3.963787,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:30,17.96875,35.9375,26.953125,58,52,60,2494.34155,2494.34155,9.418797,6.483886,0.0200964846,99.77366,49.71132,3.918068,3.96357346,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:31,17.96875,35.9375,26.953125,54,57,58,2494.343,2494.343,9.531171,6.5826273,0.0224464629,99.77372,49.71084,3.91802979,3.9636116,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:32,23.4375,30.46875,26.953125,57,55,59,2494.342,2494.342,9.403528,6.474694,0.020401651,99.77369,49.70938,3.91791534,3.963726,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:33,21.09375,33.59375,27.34375,55,57,58,2494.34229,2494.34229,9.453657,6.467625,0.02255325,99.77369,49.7089462,3.917881,3.96376038,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:34,29.6875,22.65625,26.171875,55,57,59,2494.342,2494.342,9.2011795,6.2841897,0.005584888,99.77368,49.7073021,3.91775131,3.96389,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:35,25.78125,28.125,26.953125,55,57,58,2494.342,2494.342,9.404613,6.433515,0.0137181347,99.77368,49.702076,3.91733932,3.964302,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:36,29.6875,22.65625,26.171875,56,56,59,2494.34253,2494.34253,9.229322,6.3044014,0.005783281,99.7737,49.70159,3.91730118,3.96434021,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:37,29.6875,24.21875,26.953125,60,52,61,2494.34229,2494.34229,9.345292,6.39570236,0.006897199,99.7737,49.6578827,3.91385651,3.967785,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:38,25.78125,28.125,26.953125,53,57,59,2494.34229,2494.34229,9.285694,6.34658575,0.0119327707,99.77369,49.69148,3.916504,3.96513748,45,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:39,18.75,35.15625,26.953125,56,57,58,2494.342,2494.342,9.330092,6.37060976,0.00761435926,99.77368,49.6914253,3.9165,3.9651413,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:40,24.21875,28.90625,26.5625,59,52,60,2494.34229,2494.34229,9.204127,6.27853537,0.00540179666,99.77369,49.65542,3.913662,3.96797943,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:41,27.34375,28.90625,28.125,56,55,59,2494.34229,2494.34229,9.410486,6.43825436,0.0137180882,99.7737,49.6899757,3.91638565,3.96525574,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:42,25.78125,29.6875,27.734375,60,51,61,2494.342,2494.342,9.27511,6.324917,0.0144505873,99.77368,49.72279,3.918972,3.96266937,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:43,25.78125,30.46875,28.125,59,52,61,2494.342,2494.342,9.482059,6.50096464,0.0219124034,99.77368,49.7417145,3.92046356,3.96117783,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:44,14.84375,39.0625,26.953125,56,57,58,2494.34229,2494.34229,9.311318,6.35908556,0.02038643,99.7737,49.74152,3.9204483,3.961193,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:45,19.53125,35.15625,27.34375,56,56,59,2494.34229,2494.34229,9.401956,6.42853832,0.0164952483,99.7737,49.7418137,3.92047119,3.9611702,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:46,24.21875,28.90625,26.5625,55,56,59,2494.34229,2494.34229,9.265027,6.323799,0.0122837257,99.77369,49.7343559,3.91988373,3.96175766,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:47,28.125,28.125,28.125,56,56,59,2494.34229,2494.34229,9.408843,6.445409,0.0143284891,99.77369,49.6946678,3.91675568,3.96488571,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:48,24.21875,28.90625,26.5625,59,52,61,2494.342,2494.342,9.273327,6.34427166,0.0122990031,99.77368,49.6945763,3.916748,3.96489334,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:14:49,27.34375,28.90625,28.125,55,57,59,2494.34229,2494.34229,9.499386,6.508126,0.0228431318,99.77369,49.7386665,3.92022324,3.96141815,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51850128
02/01/2021 23:14:50,17.96875,37.5,27.734375,57,57,60,2494.3418,2494.3418,9.330273,6.38682842,0.01452686,99.773674,49.73455,3.919899,3.9617424,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51850128
02/01/2021 23:14:51,25,28.90625,26.953125,58,55,61,2494.34277,2494.34277,9.366157,6.408737,0.0145115918,99.77371,49.6993637,3.9171257,3.96451569,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51850128
02/01/2021 23:14:52,25.78125,28.90625,27.34375,57,57,60,2494.3418,2494.3418,9.372638,6.41951275,0.014069112,99.77367,49.7009125,3.91724777,3.96439362,46,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51850128
